Screen,Section/Panel,Element Type,Element Label/Name,Notes,Logic,Input Data,Output Data
AppShell,Sidebar - Logo,Image,United Educators Logo (Full/Icon),"Logo display, collapses with sidebar",Render brand asset; swap between full and icon variants based on collapsed state,Static asset + sidebarCollapsed UI state,-
AppShell,Sidebar - Collapse Toggle,Icon Button,Expand/Collapse Sidebar,"Desktop only, toggles sidebar width",Toggle sidebar collapsed/expanded state,User click,Persisted UI slice: ui.sidebarCollapsed
AppShell,Sidebar - Navigation,NavItem,Dashboard,Routes to home page,Navigate to dashboard route,User click,Route: /dashboard
AppShell,Sidebar - Navigation,NavItem,Submissions,Routes to submissions page,Navigate to submissions route,User click,Route: /submissions
AppShell,Sidebar - Navigation,NavItem,Renewals,Routes to renewals page,Navigate to renewals route,User click,Route: /renewals
AppShell,Sidebar - Navigation,NavItem,Inbox,Routes to inbox page,Navigate to inbox route,User click,Route: /inbox
AppShell,Sidebar - Navigation,NavItem,Tasks,Routes to tasks page,Navigate to tasks route,User click,Route: /tasks
AppShell,Sidebar - Navigation,NavItem,Approvals,Routes to approvals page,Navigate to approvals route,User click,Route: /approvals
AppShell,Sidebar - Navigation,NavItem,Notifications,Routes to notifications page,Navigate to notifications route,User click,Route: /notifications
AppShell,Sidebar - Navigation,NavItem,Activity,Routes to activity page,Navigate to activity route,User click,Route: /activity
AppShell,Sidebar - Navigation,NavItem,Portfolio,Routes to portfolio (senior UW+),Navigate to portfolio route; visible per user.role,user.role / RBAC,Route: /portfolio
AppShell,Sidebar - Navigation,NavItem,Appetite Rules,Routes to appetite rules (lead/director),Navigate to appetite route; gated by role,user.role / RBAC,Route: /appetite
AppShell,Sidebar - Navigation,NavItem,User Management,Routes to user management (director only),Navigate to user management route; director-only,user.role / RBAC,Route: /admin/users
AppShell,Sidebar - User Pill,Button,User Initials Avatar,Toggles user dropdown menu,Open user menu popover,User click + auth.user,Popover open state
AppShell,Sidebar - User Dropdown,Section Header,Access Level,Permission summary header,Render section title,Static text,-
AppShell,Sidebar - User Dropdown,Checkbox,View Submissions,Permission indicator,Render permission read-only,user.permissions.viewSubmissions,-
AppShell,Sidebar - User Dropdown,Checkbox,Approve Quotes,Permission indicator,Render permission read-only,user.permissions.approveQuotes,-
AppShell,Sidebar - User Dropdown,Checkbox,Bind Policies,Permission indicator,Render permission read-only,user.permissions.bindPolicies,-
AppShell,Sidebar - User Dropdown,Checkbox,Manage Users,Permission indicator,Render permission read-only,user.permissions.manageUsers,-
AppShell,Sidebar - User Dropdown,Checkbox,Appetite Rules,Permission indicator,Render permission read-only,user.permissions.appetiteRules,-
AppShell,Sidebar - User Dropdown,Checkbox,Admin Settings,Permission indicator,Render permission read-only,user.permissions.adminSettings,-
AppShell,Sidebar - User Dropdown,Text,Team: [Team Name],Team and department info,Render team membership,user.team / user.department,-
AppShell,Sidebar - User Dropdown,Button,Account Settings,Opens account settings,Navigate to account settings,User click,Route: /account/settings
AppShell,Sidebar - User Dropdown,Button,Sign Out,Logs out user,Clear auth session and redirect,User click + auth state,POST /auth/logout; clear auth slice; Route: /login
Login,Left Panel - Hero,Text,United Educators,Heading with tagline,Render marketing copy,Static text,-
Login,Left Panel - Features,Stat,9 UE product lines in a single workflow,Feature point,Render feature bullet,Static text,-
Login,Left Panel - Features,Stat,Role-based access for UW teams,Feature point,Render feature bullet,Static text,-
Login,Left Panel - Features,Stat,Real-time appetite scoring & alerts,Feature point,Render feature bullet,Static text,-
Login,Left Panel - Footer,Text,(c) 2024 United Educators...,Legal footer text,Render legal footer,Static text,-
Login,Right Panel - Status Bar,Text,System operational,Operational status indicator,Render system health,GET /api/health,-
Login,Right Panel - Form,Section Header,Sign in to your account,Main heading,Render heading,Static text,-
Login,Right Panel - Form,Section Header,I am signing in as,Role selector label,Render label,Static text,-
Login,Right Panel - Form - Role Selector,Button,Underwriter,Role card with demo info,Select demo role and prefill creds,User click,Form state: selectedRole + prefilled email/password
Login,Right Panel - Form - Role Selector,Button,UW Manager,Role card with demo info,Select demo role and prefill creds,User click,Form state: selectedRole + prefilled email/password
Login,Right Panel - Form - Role Selector,Button,Admin,Role card with demo info,Select demo role and prefill creds,User click,Form state: selectedRole + prefilled email/password
Login,Right Panel - Form - Role Selector,Stat,My submission queue,Feature bullet,Render feature bullet for role,Static text,-
Login,Right Panel - Form - Role Selector,Stat,Configure & quote,Feature bullet,Render feature bullet for role,Static text,-
Login,Right Panel - Form - Role Selector,Stat,Bind policies,Feature bullet,Render feature bullet for role,Static text,-
Login,Right Panel - Form,Text,Demo: Sarah Mitchell,Demo user name,Render demo identity,Static demo data,-
Login,Right Panel - Form,Text,Credentials pre-filled - Password: ue2024!,Demo hint text,Render demo password hint,Static text,-
Login,Right Panel - Form,Field,Email Address,Text input for email,Capture email; validate format,User entry,Form state: email
Login,Right Panel - Form,Field,Password,Password input field,Capture password (masked),User entry,Form state: password
Login,Right Panel - Form,Button,Forgot password?,Link to password reset,Navigate to password reset flow,User click,Route: /forgot-password
Login,Right Panel - Form,Icon Button,Show/Hide Password,Eye icon toggle,Toggle password visibility,UI state: showPassword,Toggled UI state
Login,Right Panel - Form,Text,[Error message],Error alert if login fails,Render auth error,POST /auth/login error response,-
Login,Right Panel - Form,Button,Sign In,Primary submit button,Submit credentials and authenticate,Form state: email + password,POST /auth/login -> auth slice + Route: /dashboard
Login,Right Panel - Demo Accounts,Section Header,All Demo Accounts,Demo accounts list header,Render section title,Static text,-
Login,Right Panel - Demo Accounts,Button,[User Name] [Email] [Role],"Demo account row, clickable",Prefill form with demo credentials on click,Static demo account list,Form state: email + password + selectedRole
Unauthorized,Main,Icon,ShieldAlert,Access denied icon,Render warning icon,Static asset,-
Unauthorized,Main,Section Header,Access Denied,Main heading,Render heading,Static text,-
Unauthorized,Main,Text,Your role does not have permission...,Error explanation,Render denial explanation,Static text + attempted route,-
Unauthorized,Main,Button,Go Back,Navigate back,Browser history back,User click,history.back()
Unauthorized,Main,Button,Dashboard,Navigate to dashboard,Navigate home,User click,Route: /dashboard
Unauthorized,Main,Button,Sign Out,Logout and return to login,Clear session and redirect,User click + auth state,POST /auth/logout; Route: /login
Dashboard,Top Bar,Section Header,[Today's Date],Date display with icon,Render today's date formatted,new Date(),-
Dashboard,Top Bar,Section Header,"Good [morning/afternoon/evening], [FirstName]",Greeting,Compute time-of-day greeting,Local time + user.firstName,-
Dashboard,Top Bar,Text,You have X critical alerts...,Status summary,Summarize unread critical alerts,Computed from alerts query,-
Dashboard,Top Bar,Button,New Submission,Primary action button,Open Create Submission modal or route to /submissions/new,User click,Modal open state OR Route: /submissions/new
Dashboard,KPI Row,KPI Card,My In Review,Shows count and trend,Aggregate submissions in review for user,GET /api/submissions?assignee=me&stage=in_review,-
Dashboard,KPI Row,KPI Card,Quoted This Month,Shows count and trend,Count submissions quoted this month,GET /api/submissions?stage=quoted&period=mtd,-
Dashboard,KPI Row,KPI Card,Bound This Month,Shows count and trend,Count submissions bound this month,GET /api/submissions?stage=bound&period=mtd,-
Dashboard,KPI Row,KPI Card,Avg. Days to Quote,Shows time metric and trend,Compute average days from intake to quote,GET /api/metrics/days-to-quote,-
Dashboard,KPI Row,KPI Card,Hit Ratio (YTD),Shows percentage and trend,Compute bound/quoted ratio YTD,GET /api/metrics/hit-ratio?period=ytd,-
Dashboard,KPI Row,KPI Card,Team In Review,Shows count (team leads+),Aggregate team in-review count; gated by role,GET /api/submissions?team=mine&stage=in_review + user.role,-
Dashboard,KPI Row,KPI Card,Team Quoted,Shows count (team leads+),Aggregate team quoted count; role-gated,GET /api/submissions?team=mine&stage=quoted,-
Dashboard,KPI Row,KPI Card,Bound YTD,Shows amount (team leads+),Sum of bound premium YTD; role-gated,GET /api/metrics/bound-premium?period=ytd&scope=team,-
Dashboard,KPI Row,KPI Card,Portfolio Hit Ratio,Shows percentage (directors),Compute portfolio-level hit ratio; director-only,GET /api/metrics/portfolio-hit-ratio,-
Dashboard,KPI Row,KPI Card,Quoted Pipeline,Shows amount (directors),Sum of quoted premium pipeline; director-only; click filters Submissions table,GET /api/metrics/quoted-pipeline,Sets ?status=Quoted on Submissions table (cross-panel via URL)
Dashboard,Open Tasks,Section Header,Open Tasks,Card title,Render card title,Static text,-
Dashboard,Open Tasks,Button,All,Filters tasks,Set task filter to All,?taskFilter URL param,Sets ?taskFilter=All
